user_id,age,income,credit_score,num_late_payments,avg_days_overdue,bill_frequency,spending_ratio,savings_balance,loan_repayment_status,marital_status,social_media_sentiment,total_debt,debt_to_income_ratio,on_time_payment
39,33,5188,690,4,19,3,0.44,4734,0,Married,Positive,8130,0.63,1
40,32,1671,824,0,20,3,0.15,4332,1,Single,Negative,9241,0.93,1
41,64,7777,839,8,2,4,0.64,997,0,Married,Positive,9334,0.14,1
42,68,8570,601,6,16,5,0.91,4076,0,Single,Positive,4850,0.62,1
43,61,8956,576,7,30,2,0.44,2731,0,Divorced,Neutral,707,0.87,0
44,72,6124,706,8,16,1,0.29,3937,0,Divorced,Positive,4690,0.32,1
45,69,6585,788,5,11,1,0.5,4052,0,Single,Positive,2383,0.89,1
46,74,5777,705,11,15,5,0.14,372,0,Single,Positive,3386,0.12,1
47,20,4900,840,4,14,4,0.84,2248,0,Married,Positive,977,0.76,1
48,54,7677,685,5,12,4,0.84,848,1,Married,Neutral,9453,0.94,1
49,68,7981,693,10,22,5,0.63,2556,0,Married,Neutral,8881,0.69,1
50,24,7376,655,1,0,4,0.42,2322,1,Divorced,Negative,7354,0.5,1
51,38,1523,707,3,16,1,0.82,503,1,Divorced,Positive,1255,0.14,1
52,26,3393,695,2,2,1,0.6,3189,1,Divorced,Negative,5431,0.93,1
53,56,3593,551,12,25,2,0.84,702,1,Divorced,Negative,6224,0.52,0
54,35,8240,626,6,14,5,0.67,3625,0,Married,Positive,4650,0.13,1
55,21,7937,681,8,3,3,0.81,314,1,Divorced,Neutral,4560,0.72,1
56,42,7190,639,4,3,3,0.64,2376,1,Divorced,Neutral,5265,0.53,1
57,31,6240,812,5,17,2,0.47,1040,1,Divorced,Positive,4112,0.21,1
58,67,7493,657,9,16,2,0.96,4378,1,Divorced,Positive,7053,0.29,1
59,75,3878,623,11,18,4,0.59,2990,1,Single,Neutral,7878,0.16,1
60,26,5143,588,11,10,2,0.64,257,0,Married,Positive,2189,0.62,1
61,43,4644,708,1,19,2,0.3,574,0,Married,Positive,1816,0.66,1
62,70,5432,620,2,2,3,0.66,4669,1,Divorced,Positive,7630,0.56,1
63,19,2276,790,2,7,4,0.61,1552,0,Single,Neutral,3686,0.84,1
64,37,6811,847,11,13,2,0.27,4518,0,Married,Negative,6289,0.87,1
65,45,1302,585,11,25,2,0.15,757,1,Married,Negative,1645,0.65,1
66,64,1638,633,8,0,4,0.64,2810,1,Divorced,Positive,4894,0.11,1
67,24,1055,812,6,13,5,0.79,1104,1,Divorced,Neutral,8442,0.73,1
68,61,9717,721,7,1,4,0.57,4524,0,Married,Positive,8048,0.48,1
69,25,9150,722,10,28,3,0.3,3459,1,Married,Neutral,1060,0.61,1
70,64,3125,596,9,22,5,0.7,3992,0,Single,Positive,2412,0.68,1
71,52,1364,690,10,3,1,0.17,203,0,Married,Neutral,2364,0.42,1
72,31,7809,667,8,23,4,0.5,2775,0,Married,Neutral,796,0.93,1
73,34,5621,826,5,26,3,0.25,2332,1,Divorced,Negative,2909,0.22,1
74,53,6126,763,3,28,5,0.27,1992,0,Married,Positive,8130,0.7,1
75,67,6122,769,11,18,4,0.28,2243,1,Divorced,Negative,1961,0.1,1
76,57,2646,575,0,5,2,0.45,306,1,Married,Negative,4792,0.93,0
77,21,1918,558,7,24,4,0.15,1687,1,Married,Neutral,2768,0.2,0
78,19,3797,820,6,0,1,0.46,4109,1,Married,Positive,1494,0.19,1
79,23,7506,559,1,16,4,0.56,1860,1,Single,Neutral,7054,0.4,0
80,71,6870,670,7,7,5,0.53,1961,0,Divorced,Neutral,507,0.44,1
81,59,2531,674,11,18,5,0.44,722,0,Single,Neutral,3015,0.29,1
82,21,9172,719,4,20,4,0.86,779,0,Married,Positive,1917,0.63,1
83,71,4345,621,6,0,5,0.23,528,0,Single,Positive,2816,0.5,1
84,46,8673,701,3,4,2,0.56,4893,0,Divorced,Neutral,7858,0.13,1
85,35,7949,757,4,26,4,0.16,343,1,Married,Positive,4432,0.39,1
86,43,7882,598,7,15,2,0.16,3786,1,Single,Neutral,6704,0.83,1
87,61,2906,703,0,5,2,0.62,3682,0,Single,Positive,1787,0.72,1
88,51,4086,842,0,7,3,0.61,208,0,Divorced,Positive,1618,0.75,1
89,27,9152,617,3,12,4,0.89,4736,0,Single,Negative,9244,0.73,1
90,53,6750,599,2,15,5,0.6,3406,1,Divorced,Neutral,8137,0.38,0
91,31,9905,701,12,29,2,0.96,1311,1,Married,Negative,1160,0.19,1
92,48,2062,568,9,2,3,0.14,2299,1,Married,Negative,9407,0.35,0
93,65,2976,649,11,18,4,0.19,3336,0,Single,Neutral,7422,0.85,1
94,32,2296,609,1,11,4,0.14,1947,0,Married,Neutral,8604,0.98,0
95,25,7229,716,11,15,1,0.27,919,0,Married,Positive,6837,0.54,1
96,31,8641,751,2,26,1,0.59,2044,0,Single,Neutral,3029,0.11,1
97,40,1125,695,10,10,2,0.68,418,1,Married,Negative,4470,0.23,1
98,74,5632,713,10,9,1,0.14,1749,0,Single,Negative,3907,0.39,1
99,57,7288,791,10,24,2,0.95,2842,0,Divorced,Neutral,9546,0.62,1
100,38,4596,618,0,19,5,0.86,1099,0,Divorced,Negative,7916,0.17,0
101,33,7168,724,0,30,2,0.37,3392,1,Divorced,Positive,5260,0.95,1
102,62,8561,598,5,3,1,0.17,2772,1,Single,Negative,2397,0.43,0
103,35,9258,657,4,11,5,0.25,2480,0,Single,Positive,6864,0.92,1
104,64,1232,775,7,22,1,0.21,1545,1,Married,Negative,8964,0.8,1
105,70,7371,710,1,1,2,0.21,1070,1,Married,Positive,4587,0.78,1
106,41,5206,668,3,23,3,0.57,1850,1,Married,Positive,9964,0.65,1
107,43,8943,698,7,21,4,0.32,4198,1,Married,Neutral,4874,0.66,1
108,42,7891,699,11,18,1,0.42,2939,1,Married,Positive,8107,0.67,1
109,62,7738,842,5,24,2,0.99,1903,0,Single,Neutral,4519,0.67,1
110,58,3472,692,0,4,5,0.72,678,0,Single,Negative,1315,0.6,1
111,46,3739,709,3,7,1,0.95,988,0,Divorced,Negative,7755,0.99,1
112,32,6401,560,0,6,1,0.23,2475,1,Divorced,Negative,1422,0.76,0
113,62,2761,687,12,13,4,0.44,1607,1,Divorced,Positive,5367,0.8,1
114,18,1876,627,1,23,2,0.6,2869,1,Divorced,Negative,1764,0.89,0
115,42,4812,626,4,22,3,0.17,1502,1,Single,Negative,4224,0.29,1
116,24,2460,803,7,2,5,0.1,1789,0,Single,Neutral,3222,0.18,1
117,26,2733,807,7,17,2,0.7,1425,0,Single,Neutral,5855,0.53,1
118,41,2605,840,10,15,5,0.68,2440,0,Married,Negative,3050,0.56,1
119,18,6622,812,2,22,1,0.47,2042,0,Married,Negative,5819,0.85,1
120,61,7767,634,10,18,4,0.54,1278,0,Divorced,Positive,7186,0.5,1
121,25,7986,695,12,18,4,0.47,2594,0,Married,Positive,2173,0.61,1
122,41,4517,591,3,17,3,0.12,4689,1,Single,Negative,5087,0.57,0
123,28,4735,674,9,19,4,0.4,2436,1,Divorced,Neutral,5853,0.13,1
124,68,9434,716,10,15,1,0.26,3803,0,Divorced,Negative,7357,0.65,1
125,34,3590,790,5,7,3,0.19,2205,1,Married,Positive,2166,0.85,1
126,25,2063,829,10,27,2,0.96,1027,0,Divorced,Neutral,5011,0.24,1
127,52,5324,737,10,0,4,0.64,3539,0,Married,Neutral,6672,0.63,1
128,52,6342,568,9,16,3,0.76,3483,1,Married,Positive,1884,0.63,0
129,50,1005,617,2,11,1,0.38,2241,0,Divorced,Negative,4903,0.25,0
130,22,8489,767,1,29,5,0.45,2765,0,Married,Negative,4454,0.21,1
131,59,9659,651,5,20,5,0.31,1173,0,Married,Negative,6805,0.98,1
132,56,9195,591,10,10,1,0.19,3230,1,Married,Positive,8752,0.45,1
133,75,6966,837,12,4,1,0.26,3350,1,Married,Neutral,7738,0.3,1
134,58,9837,716,4,26,5,0.82,4911,1,Divorced,Positive,7481,0.25,1
135,45,1117,658,9,11,3,0.71,403,1,Single,Negative,6526,0.7,1
136,24,3551,585,4,16,5,0.59,4988,0,Single,Positive,7109,0.65,0
137,26,6560,781,9,5,1,0.53,2725,1,Married,Neutral,9164,0.68,1
138,25,5289,778,12,0,4,0.93,3382,1,Married,Positive,1458,0.18,1
139,29,1846,713,4,4,2,0.17,4163,1,Married,Negative,9224,0.9,1
140,51,7316,622,9,24,4,0.35,87,0,Single,Neutral,993,0.45,1
141,50,7469,685,11,27,4,0.41,1158,1,Married,Positive,7542,0.38,1
142,65,9915,619,4,13,1,0.8,4273,1,Divorced,Positive,581,0.52,1
143,72,1224,745,2,4,5,0.99,2857,0,Divorced,Neutral,7499,0.45,1
144,40,5208,818,6,21,3,0.32,1381,0,Divorced,Neutral,3470,0.88,1
145,41,7283,598,5,23,4,0.89,4681,0,Single,Negative,511,0.94,0
146,54,3048,679,3,26,5,0.85,2064,0,Married,Neutral,8324,0.37,1
147,52,7233,554,1,0,3,0.3,2374,1,Married,Negative,1261,0.88,0
148,61,2828,576,11,29,4,0.46,317,0,Married,Positive,3685,0.8,0
149,57,2917,709,8,17,3,0.47,1502,1,Single,Negative,525,0.94,1
150,39,5234,698,0,15,5,0.98,2042,1,Single,Positive,2306,0.32,1
151,44,7988,813,12,8,2,0.26,4598,1,Single,Neutral,7151,0.62,1
152,52,3026,779,12,18,5,0.82,2022,1,Single,Positive,6164,0.35,1
153,18,4744,749,10,21,1,0.4,118,1,Divorced,Neutral,5654,0.84,1
154,52,1009,599,3,4,3,0.76,709,0,Single,Positive,6324,0.1,0
155,54,1260,616,0,26,2,0.48,3557,1,Single,Positive,4159,0.61,0
156,64,7038,849,12,1,3,0.62,4140,1,Single,Positive,2025,0.41,1
157,31,3219,607,5,29,3,0.85,4409,1,Married,Positive,1260,0.39,0
158,20,8041,808,3,14,4,0.82,3250,0,Married,Negative,1094,0.68,1
159,18,3060,679,4,6,1,0.88,417,1,Married,Positive,7692,0.87,1
160,22,6287,764,4,3,3,0.15,2603,1,Divorced,Negative,1555,0.65,1
161,43,2619,721,8,0,5,0.72,3854,0,Divorced,Neutral,3583,0.87,1
162,72,9512,807,0,12,5,0.23,1101,1,Single,Neutral,4175,0.34,1
163,31,2342,651,12,19,4,0.47,4421,1,Married,Negative,6457,0.57,1
164,56,3832,758,1,21,1,0.59,3428,0,Divorced,Neutral,5755,0.51,1
165,44,3824,840,12,6,1,0.46,2261,1,Married,Neutral,9911,0.11,1
166,26,2994,835,5,14,5,0.57,4169,1,Divorced,Positive,4728,0.6,1
167,32,4490,665,4,22,2,1.0,3634,1,Divorced,Positive,4681,0.7,1
168,32,8984,813,10,13,4,0.22,508,1,Single,Positive,2330,0.63,1
169,43,2604,699,6,22,4,0.71,2379,1,Single,Negative,3895,0.76,1
170,59,1235,849,2,18,5,0.46,3164,0,Divorced,Negative,1703,0.61,1
171,30,2908,585,2,21,5,0.22,687,0,Single,Neutral,3310,0.16,0
172,68,9567,836,9,28,2,0.24,4752,0,Divorced,Positive,3592,0.2,1
173,49,4530,757,1,23,2,0.95,1292,1,Divorced,Negative,3544,0.64,1
174,56,6256,655,12,19,1,0.89,3905,1,Married,Negative,6571,0.35,1
175,66,3635,707,2,28,4,0.92,3075,1,Single,Positive,7772,0.17,1
176,69,9162,670,9,23,4,0.99,3209,0,Single,Negative,5173,0.49,1
177,49,3560,604,0,17,5,0.29,324,1,Single,Positive,4014,0.6,0
178,21,6415,561,4,30,1,0.42,1993,1,Married,Neutral,6692,0.4,0
179,47,4391,694,11,9,4,0.7,3976,1,Married,Neutral,644,0.75,1
180,54,6951,685,4,8,1,0.54,4812,0,Married,Neutral,8007,0.68,1
181,40,6468,552,11,24,1,0.48,2770,0,Single,Positive,5357,0.4,0
182,56,9007,693,10,7,5,0.42,4372,1,Single,Negative,1877,0.78,1
183,62,7413,579,6,25,1,0.63,2583,1,Single,Neutral,3646,0.68,0
184,32,7941,786,3,29,2,0.62,3557,1,Married,Neutral,5524,0.67,1
185,60,5820,828,2,28,2,0.25,3587,0,Married,Neutral,1293,0.6,1
186,46,3898,664,0,9,3,0.52,151,0,Divorced,Negative,6256,0.11,1
187,53,8546,653,11,16,5,0.6,954,0,Married,Negative,4914,0.73,1
188,30,1077,667,7,1,3,0.61,4354,1,Divorced,Positive,1610,0.44,1
189,49,8577,554,12,5,2,0.29,2371,0,Single,Neutral,6172,0.95,0
190,24,5227,797,2,25,3,0.77,4964,1,Married,Negative,4553,0.84,1
191,68,1600,670,12,4,5,0.12,1191,1,Single,Positive,4437,0.63,1
192,39,2065,835,1,27,5,0.42,687,0,Single,Neutral,4463,0.33,1
193,45,3136,698,10,29,1,0.8,309,1,Single,Negative,5442,0.28,1
194,19,7943,633,3,8,4,0.61,1502,0,Single,Negative,6397,0.41,1
195,59,8804,780,2,4,1,0.34,3127,1,Married,Positive,9474,0.53,1
196,62,7565,837,12,17,5,0.73,4568,1,Single,Neutral,1616,0.37,1
197,74,6984,710,0,25,2,0.61,3367,0,Divorced,Neutral,2250,0.56,1
198,70,6142,821,2,19,2,0.82,3395,1,Married,Negative,4527,0.25,1
199,23,5670,587,11,8,1,0.76,813,1,Single,Neutral,6245,0.98,1
200,45,3190,775,1,16,5,0.65,845,1,Married,Positive,5564,0.2,1
201,45,3712,691,7,26,2,0.54,1164,1,Divorced,Negative,6438,0.94,1
202,61,3192,841,5,16,5,0.22,4762,1,Single,Negative,3897,0.92,1
203,61,2248,700,8,11,2,0.34,1767,1,Divorced,Positive,8765,0.57,1
204,37,5033,663,7,6,5,0.48,354,1,Single,Negative,1859,0.75,1
205,47,2997,786,9,26,3,0.64,1872,1,Divorced,Neutral,9783,0.49,1
206,28,4687,615,2,2,5,0.56,2024,0,Single,Neutral,5353,0.67,0
207,75,5018,807,4,9,5,0.36,2817,0,Married,Negative,2441,0.41,1
208,72,2970,798,6,1,1,0.11,3832,1,Single,Positive,3648,0.37,1
209,45,9389,729,4,24,3,0.55,4275,1,Married,Positive,8433,0.62,1
210,42,6765,739,7,2,4,0.36,65,0,Single,Neutral,9936,0.55,1
211,56,2202,703,11,15,1,0.76,4915,1,Single,Positive,1785,0.62,1
212,50,9135,745,4,1,4,0.12,4266,0,Divorced,Negative,6974,0.36,1
213,18,6567,811,0,27,2,0.63,4090,0,Divorced,Negative,1270,0.43,1
214,74,8667,692,4,23,4,0.95,2521,0,Divorced,Neutral,2343,0.18,1
215,44,6742,650,3,9,5,0.26,2581,1,Single,Neutral,573,0.15,1
216,74,6788,793,5,5,4,0.52,1390,1,Single,Neutral,2160,0.33,1
217,69,6408,561,2,21,1,0.18,1130,1,Single,Positive,4849,0.17,0
218,30,9669,788,10,25,1,0.66,2486,0,Married,Negative,7602,0.19,1
219,58,1922,598,4,10,4,0.6,834,0,Married,Negative,8500,0.83,0
220,20,1419,591,1,22,1,0.47,226,0,Single,Negative,9511,0.13,0
221,56,3204,715,10,6,1,0.57,3515,1,Divorced,Neutral,4318,0.69,1
222,23,2120,631,5,26,4,0.91,4537,0,Divorced,Negative,831,0.35,1
223,25,1950,840,12,28,3,0.28,2443,0,Divorced,Positive,1921,0.88,1
224,44,3336,707,11,14,3,0.12,727,1,Single,Positive,8012,0.54,1
225,26,6373,765,5,5,2,0.88,3686,0,Divorced,Negative,7390,0.38,1
226,54,3243,707,4,19,1,0.62,3622,0,Single,Neutral,5431,0.57,1
227,50,3645,683,5,26,4,0.9,1036,1,Married,Negative,6525,0.44,1
228,68,5612,616,10,8,1,0.64,1832,1,Divorced,Positive,4908,0.61,1
229,59,2865,556,6,21,5,0.83,2740,0,Married,Positive,5613,0.2,0
230,61,7028,563,11,19,1,0.49,492,1,Divorced,Positive,8919,1.0,0
231,41,8326,622,4,11,1,0.77,1548,0,Single,Negative,3381,0.48,1
232,32,7371,712,0,18,3,0.92,1143,1,Single,Positive,3365,0.41,1
233,71,7359,615,7,19,4,0.61,3957,0,Single,Neutral,3075,0.74,1
234,49,8863,679,3,2,1,0.26,3407,1,Single,Negative,6685,0.43,1
235,49,4228,755,8,14,3,0.34,639,0,Divorced,Negative,9156,0.85,1
236,41,4719,825,9,1,2,0.28,172,1,Married,Positive,6241,0.51,1
237,58,3371,805,11,29,3,0.32,4354,1,Single,Positive,777,0.75,1
238,69,3891,815,5,20,3,0.38,3959,1,Divorced,Neutral,565,0.2,1
239,66,4756,574,0,1,3,0.6,516,1,Married,Negative,4762,0.86,0
240,66,5225,830,2,21,1,0.63,522,1,Single,Positive,6204,0.76,1
241,75,1094,802,2,2,1,0.48,1917,1,Married,Neutral,9094,0.29,1
242,69,3674,838,9,5,2,0.65,2886,1,Single,Positive,8489,0.23,1
243,29,7898,713,11,14,5,0.17,2164,0,Married,Negative,6755,0.38,1
244,56,1793,644,11,26,5,0.18,1929,0,Married,Positive,7941,0.98,1
245,19,3116,819,3,9,5,0.25,3945,1,Single,Negative,5192,0.33,1
246,20,6779,659,5,8,2,0.57,2209,1,Divorced,Positive,4919,0.51,1
247,66,7166,787,6,0,5,0.29,3783,0,Married,Negative,8460,0.13,1
248,54,1814,574,9,15,5,0.35,2590,0,Single,Neutral,6578,0.46,0
249,66,1345,690,3,5,3,0.46,4934,1,Married,Negative,1937,0.61,1
250,73,9554,666,5,8,1,0.83,4076,0,Married,Neutral,9120,0.96,1
251,34,3443,574,10,26,1,0.11,1093,0,Divorced,Negative,7532,0.57,0
252,66,8783,628,0,3,3,0.68,3880,1,Married,Neutral,6231,0.84,1
253,19,1984,617,7,26,3,0.7,2494,1,Married,Positive,3878,0.59,1
254,19,8790,722,6,27,3,0.82,2579,1,Single,Negative,9084,0.14,1
255,45,1827,561,10,1,1,0.94,2488,0,Single,Positive,6847,0.38,0
256,71,4531,837,10,28,5,0.12,2785,1,Divorced,Neutral,6901,0.62,1
257,40,8147,677,8,3,3,0.24,2758,1,Married,Negative,7129,0.96,1
258,54,5451,645,2,0,2,0.9,1574,0,Married,Negative,5041,0.87,1
259,49,4876,641,1,18,3,0.51,2373,1,Married,Positive,8376,0.31,1
260,50,6959,690,0,25,4,0.61,3990,0,Divorced,Negative,9033,0.3,1
261,18,1126,580,2,24,3,0.7,4845,0,Married,Negative,8824,0.28,0
262,36,4177,569,4,9,1,0.71,1093,0,Single,Positive,764,0.93,0
263,19,9795,695,10,20,3,0.94,1189,0,Divorced,Negative,1934,0.87,1
264,70,7024,709,1,14,4,1.0,2689,0,Single,Positive,5827,0.8,1
265,61,6109,592,11,26,2,0.75,4095,0,Single,Positive,5597,0.45,1
266,43,5146,803,2,21,5,0.36,1875,1,Divorced,Positive,2160,0.55,1
267,49,8196,679,3,18,3,0.89,3406,1,Single,Positive,6192,0.52,1
268,23,4368,609,6,15,4,0.14,1787,1,Married,Positive,2854,0.33,1
269,49,4797,700,12,20,4,0.31,3932,0,Divorced,Neutral,8957,0.55,1
270,72,2792,836,2,26,2,0.91,1607,1,Single,Neutral,6961,0.13,1
271,21,6732,554,8,23,1,0.33,3748,0,Married,Positive,9828,0.22,0
272,72,4476,815,7,21,3,0.3,48,1,Married,Neutral,7544,0.9,1
273,28,4417,679,3,3,4,0.22,3861,0,Single,Neutral,5997,0.78,1
274,73,2645,816,12,1,2,0.87,2180,1,Married,Negative,5049,0.48,1
275,34,4030,727,0,29,5,0.55,3046,0,Divorced,Positive,6834,0.57,1
276,55,3872,802,0,24,4,0.71,2833,1,Single,Neutral,6510,0.43,1
277,41,4072,605,0,12,2,0.32,1397,0,Married,Negative,5426,0.77,0
278,22,2854,632,0,27,1,0.78,3826,1,Married,Negative,9804,0.81,1
279,69,5021,648,7,0,1,0.78,4574,0,Single,Positive,6565,0.79,1
280,51,5662,698,2,16,4,0.38,831,1,Single,Positive,2679,0.75,1
281,23,7514,705,5,12,4,0.47,2697,1,Single,Negative,5467,0.28,1
282,39,6031,739,2,3,3,0.29,4777,1,Single,Positive,1134,0.4,1
283,28,3708,812,10,6,2,0.98,2735,0,Divorced,Positive,4131,0.52,1
284,65,8112,629,4,16,4,0.68,81,0,Single,Negative,5177,0.4,1
285,33,9393,801,12,8,3,0.94,86,0,Divorced,Negative,2718,0.78,1
286,50,4507,646,12,3,3,0.37,2063,0,Divorced,Positive,1889,0.4,1
287,26,7456,809,6,18,4,0.8,821,0,Single,Neutral,4776,0.22,1
288,23,5212,809,1,0,1,0.79,162,1,Divorced,Positive,1749,0.46,1
289,33,8970,652,5,9,2,0.72,3739,0,Single,Neutral,8140,0.98,1
290,46,9766,589,12,3,2,0.97,2397,1,Single,Negative,6212,0.3,1
291,20,1536,822,5,8,1,0.45,1932,1,Married,Neutral,1745,0.65,1
292,37,2625,650,10,12,4,0.22,2728,0,Single,Negative,8745,0.49,1
293,53,8973,770,2,13,2,0.7,3535,1,Married,Positive,942,0.16,1
294,36,9577,673,5,9,4,0.76,3446,0,Divorced,Positive,7476,0.54,1
295,43,9070,780,9,5,4,0.62,2790,0,Married,Negative,5175,0.73,1
296,20,9666,727,9,15,3,0.29,2707,0,Divorced,Negative,8453,0.56,1
297,36,9609,612,4,5,1,0.55,3933,1,Single,Negative,4877,0.88,1
298,37,7490,665,11,16,4,0.38,3385,0,Divorced,Positive,7558,0.36,1
299,49,4600,740,1,9,5,0.48,922,0,Divorced,Positive,1322,0.18,1
300,24,7783,611,8,17,1,0.68,2175,0,Single,Neutral,3439,0.94,1
301,69,5971,805,7,26,2,0.77,1582,1,Divorced,Negative,7596,0.44,1
302,58,2205,556,2,21,3,0.31,564,0,Single,Neutral,6265,0.62,0
303,50,2990,704,7,17,2,0.46,3258,1,Married,Positive,1531,0.81,1
304,57,6299,641,8,2,2,0.34,2597,1,Single,Neutral,1062,0.39,1
305,56,4572,563,2,19,1,0.28,2500,0,Single,Neutral,840,0.74,0
306,35,6975,778,2,26,2,0.81,4566,1,Divorced,Positive,5067,0.22,1
307,57,7320,635,1,20,4,0.92,987,1,Married,Positive,8362,0.36,1
308,18,5380,682,7,30,2,0.43,3636,0,Single,Negative,2796,0.23,1
309,28,5757,732,9,24,3,0.78,223,0,Married,Neutral,734,0.83,1
310,45,3713,611,0,27,3,0.91,350,0,Married,Positive,5702,0.3,0
311,74,6588,768,7,14,5,0.86,1928,1,Divorced,Positive,9808,0.75,1
312,42,1966,795,6,14,3,0.26,348,0,Single,Neutral,1791,0.95,1
313,67,5944,779,6,3,2,0.96,4277,1,Divorced,Positive,5227,0.57,1
314,40,4432,628,2,28,3,0.44,4732,1,Single,Negative,9220,0.59,1
315,48,1688,698,0,26,1,0.41,1017,1,Married,Negative,3439,0.51,1
316,47,5243,687,3,8,3,0.16,2226,1,Single,Neutral,5935,0.39,1
317,59,4701,614,8,26,4,0.54,4867,1,Single,Negative,7481,0.53,1
318,52,9533,562,4,25,1,0.2,4124,0,Married,Positive,5892,0.64,0
319,24,6182,762,0,18,5,0.32,2419,0,Married,Positive,8472,0.99,1
320,33,7704,791,4,23,4,0.39,1893,1,Single,Positive,1733,0.94,1
321,43,5422,762,12,27,2,0.83,3040,1,Divorced,Positive,3300,0.88,1
322,65,2759,730,7,16,2,0.89,2068,0,Single,Neutral,3275,0.9,1
323,74,3482,722,7,10,2,0.37,1125,0,Married,Negative,6544,0.52,1
324,69,9058,709,4,24,4,0.87,3117,1,Divorced,Negative,3987,0.69,1
325,66,1951,713,11,8,4,0.87,4161,1,Married,Positive,7883,0.91,1
326,19,9914,737,8,9,4,0.79,4042,0,Married,Neutral,4350,0.45,1
327,18,3079,740,0,17,1,0.23,4433,0,Divorced,Positive,5497,0.97,1
328,65,3717,805,3,19,1,0.72,2170,1,Married,Positive,1390,0.47,1
329,29,5524,732,2,12,2,0.95,446,0,Married,Neutral,6420,0.64,1
330,22,9477,666,1,7,3,0.71,2658,0,Married,Neutral,1688,0.74,1
331,54,8311,831,7,6,2,0.4,3362,1,Married,Positive,6144,0.96,1
332,49,8186,745,6,16,5,0.55,2718,1,Married,Negative,1240,0.32,1
333,72,3065,583,8,20,1,0.68,3483,1,Married,Positive,1869,0.77,0
334,26,1768,601,1,22,4,0.56,2944,0,Married,Negative,2500,0.57,0
335,58,6490,661,3,14,1,0.21,4376,1,Married,Negative,1971,0.34,1
336,52,7645,801,5,19,4,0.38,595,0,Married,Neutral,2036,0.8,1
337,36,6083,631,10,14,5,0.82,1986,1,Single,Neutral,818,0.6,1
338,65,6232,781,2,30,5,0.88,2750,1,Single,Positive,5653,0.69,1
339,33,6797,776,7,0,1,0.22,1074,0,Married,Negative,2394,0.39,1
340,20,5926,782,2,24,4,0.96,3969,0,Single,Negative,8491,0.53,1
